Diagnostico_transcrito,Diagnostico_estandar,Diagnostico_extendido,Freq,Npartes,Nfalta,IDs,Diagnostico_clasificacion
BN+ENTEROCOLITIS,BN+ENTCO,bronconeumonia + enterocolitis,3,2,0,"BO_1978_01252,BO_1978_03717,BO_1978_03992",Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
BN+Enterocolitis,BN+ENTCO,bronconeumonia + enterocolitis,2,2,0,"BO_1978_01820,BO_1978_02683",Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
bn+ENTEROCOLITIS,BN+ENTCO,bronconeumonia + enterocolitis,1,2,0,BO_1978_04732,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
BN+EP,BN+EP,bronconeumonia + edema pulmonar,1,2,0,BO_1978_00953,Enfermedades del sistema respiratorio
EP+BN,BN+EP,bronconeumonia + edema pulmonar,1,2,0,BO_1976_03659,Enfermedades del sistema respiratorio
BN+Gangrena,BN+Gang,bronconeumonia + gangrena,2,2,0,"BO_1976_03729,BO_1976_05430",Enfermedades de la piel y del tejido subcutáneo + Enfermedades del sistema respiratorio
BN+Gang,BN+Gang,bronconeumonia + gangrena,1,2,0,BO_1979_02970,Enfermedades de la piel y del tejido subcutáneo + Enfermedades del sistema respiratorio
Gang+BN,BN+Gang,bronconeumonia + gangrena,1,2,0,BO_1978_02178,Enfermedades de la piel y del tejido subcutáneo + Enfermedades del sistema respiratorio
BN y GasT,BN+Gastr,bronconeumonia + gastro,1,2,0,BO_1976_05988,Enfermedades del sistema respiratorio
BN+GASTRO,BN+Gastr,bronconeumonia + gastro,1,2,0,BO_1974_01867,Enfermedades del sistema respiratorio
BN+GasT,BN+Gastr,bronconeumonia + gastro,1,2,0,BO_1976_03125,Enfermedades del sistema respiratorio
BN+Gast,BN+Gastr,bronconeumonia + gastro,1,2,0,BO_1979_04387,Enfermedades del sistema respiratorio
BN+Gastro,BN+Gastr,bronconeumonia + gastro,1,2,0,BO_1975_05867,Enfermedades del sistema respiratorio
BN+Gastroenteritis,BN+Gastroent,bronconeumonia + gastroenteritis,1,2,0,BO_1975_00806,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
BN+Gastroent,BN+Gastroent,bronconeumonia + gastroenteritis,1,2,0,BO_1976_03724,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
BN+GASTROENTERITIS,BN+Gastroent,bronconeumonia + gastroenteritis,1,2,0,BO_1978_02366,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
HC+BN,BN+HC,bronconeumonia + hemorragia cerebral o herida cortante,27,2,0,"BO_1975_02391,BO_1975_03285,BO_1975_04522,BO_1975_04954,BO_1975_05486",Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
BN+HC,BN+HC,bronconeumonia + hemorragia cerebral o herida cortante,9,2,0,"BO_1974_01439,BO_1974_02381,BO_1975_01327,BO_1975_03766,BO_1977_02119",Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
HCPA+BN,BN+HC+_PA,bronconeumonia + hemorragia cerebral o herida cortante + pelvis abdomen,1,3,0,BO_1979_01862,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
HC+BN+Intox,BN+HC+Intox,bronconeumonia + hemorragia cerebral o herida cortante + intoxicacion,1,3,0,BO_1977_05110,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
BN+HC+LOC,BN+HC+LOC,bronconeumonia + enfermedad organica del corazon + hemorragia cerebral o herida cortante,1,3,0,BO_1978_05091,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio
HC+BN+LOC,BN+HC+LOC,bronconeumonia + enfermedad organica del corazon + hemorragia cerebral o herida cortante,1,3,0,BO_1975_05656,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio
BN+Esteatosas hepatica,BN+Hepat,bronconeumonia + higado,1,3,1,BO_1978_05038,Enfermedades del sistema respiratorio
Per+BN Heria [gatrang...],BN+Hernia+PER,bronconeumonia + hernia + peritonitis o perforacion,1,4,1,BO_1975_05571,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio
BN+Hidrocefalia,BN+Hidrocefalia,bronconeumonia + hidrocefalia,1,2,0,BO_1978_06666,Enfermedades del sistema nervioso + Enfermedades del sistema respiratorio
HIDROCEFALIA+BN,BN+Hidrocefalia,bronconeumonia + hidrocefalia,1,2,0,BO_1979_05037,Enfermedades del sistema nervioso + Enfermedades del sistema respiratorio
HIPCP+BN,BN+HIPC,bronconeumonia + herida punzo cortante,2,2,0,"BO_1978_04804,BO_1979_04941",Enfermedades del sistema respiratorio + Herida punzo cortante
BBNT +HI,BN+HIPC,bronconeumonia + herida punzo cortante,1,3,1,BO_1979_03226,Enfermedades del sistema respiratorio + Herida punzo cortante
HsIPC+P+,BN+HIPC+HPAFA+PER,bronconeumonia + herida arma fuego abdomen + herida punzo cortante + peritonitis o perforacion,1,4,0,BO_1975_02327,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio + Herida por arma de fuego + Herida punzo cortante
HIPCPA+BN,BN+HIPCA,bronconeumonia + herida punzo cortante abdomen,3,2,0,"BO_1974_03381,BO_1975_05146,BO_1978_02826",Enfermedades del sistema respiratorio + Herida punzo cortante
HIPCPC+BN,BN+HIPCC,bronconeumonia + herida punzo cortante craneo,1,2,0,BO_1978_01407,Enfermedades del sistema respiratorio + Herida punzo cortante
B+Px HIPCPT,BN+HIPCT,bronconeumonia + herida punzo cortante torax,1,3,1,BO_1978_03237,Enfermedades del sistema respiratorio + Herida punzo cortante
BN+HIPCPV,BN+HIPCV,bronconeumonia + herida punzo cortante vientre,1,2,0,BO_1974_00013,Enfermedades del sistema respiratorio + Herida punzo cortante
BN+HPAFP,BN+HPAF,bronconeumonia + herida arma fuego,1,2,0,BO_1975_04028,Enfermedades del sistema respiratorio + Herida por arma de fuego
BN+HPAFPMI,BN+HPAF,bronconeumonia + herida arma fuego,1,2,0,BO_1977_01887,Enfermedades del sistema respiratorio + Herida por arma de fuego
HPAFCCuello,BN+HPAF,bronconeumonia + herida arma fuego,1,2,0,BO_1978_02922,Enfermedades del sistema respiratorio + Herida por arma de fuego
HPAF+BN,BN+HPAF,bronconeumonia + herida arma fuego,1,2,0,BO_1974_01205,Enfermedades del sistema respiratorio + Herida por arma de fuego
BN+Per+HsPAF,BN+HPAF+PER,bronconeumonia + herida arma fuego + peritonitis o perforacion,1,3,0,BO_1978_03268,Enfermedades del sistema digestivo + Enfermedades del sistema respiratorio + Herida por arma de fuego
HPAFPA+BN,BN+HPAFA,bronconeumonia + herida arma fuego abdomen,5,2,0,"BO_1974_01192,BO_1975_00796,BO_1975_04942,BO_1977_05313,BO_1978_04944",Enfermedades del sistema respiratorio + Herida por arma de fuego
BN+HPAFPA,BN+HPAFA,bronconeumonia + herida arma fuego abdomen,1,2,0,BO_1976_05154,Enfermedades del sistema respiratorio + Herida por arma de fuego
HsPAFPsA+BN,BN+HPAFA,bronconeumonia + herida arma fuego abdomen,1,2,0,BO_1976_03217,Enfermedades del sistema respiratorio + Herida por arma de fuego
HPAFPC+BN,BN+HPAFC,bronconeumonia + herida arma fuego craneo,3,2,0,"BO_1975_01114,BO_1976_05055,BO_1979_04313",Enfermedades del sistema respiratorio + Herida por arma de fuego
BN+HPAFPC,BN+HPAFC,bronconeumonia + herida arma fuego craneo,1,2,0,BO_1978_00815,Enfermedades del sistema respiratorio + Herida por arma de fuego
BN+TCer+HPAFPCuello,BN+HPAFCu+TCer,bronconeumonia + herida arma fuego cuello + traumatismo cervico,1,3,0,BO_1975_03972,Enfermedades del sistema respiratorio + Herida por arma de fuego + Trauma
HPAFPColumna+BN,BN+HPAFRaquis,bronconeumonia + herida arma fuego raquis,1,2,0,BO_1976_03590,Enfermedades del sistema respiratorio + Herida por arma de fuego
HPPAFPCuello,BN+HPAFT,bronconeumonia + herida arma fuego torax,1,2,0,BO_1975_02066,Enfermedades del sistema respiratorio + Herida por arma de fuego
HPATPT,BN+HPAFT,bronconeumonia + herida arma fuego torax,1,2,0,BO_1978_04844,Enfermedades del sistema respiratorio + Herida por arma de fuego
HPAFPTA+BN,BN+HPAFTA,bronconeumonia + herida arma fuego torax abdomen,1,2,0,BO_1976_03174,Enfermedades del sistema respiratorio + Herida por arma de fuego
HsPsAFPsTA,BN+HPAFTV,bronconeumonia + herida arma fuego torax vientre,1,2,0,BO_1978_00948,Enfermedades del sistema respiratorio + Herida por arma de fuego
TMInf+BN,BN+Inf+TM,bronconeumonia + infarto o infeccion + traumatismo multiple,1,3,0,BO_1975_03703,Ciertas enfermedades infecciosas y parasitarias + Enfermedades del sistema respiratorio + Trauma
BN INFECCION UTERINA,BN+Inf+Utero,bronconeumonia + infarto o infeccion + utero,1,3,0,BO_1978_02170,Ciertas enfermedades infecciosas y parasitarias + Enfermedades del sistema respiratorio
BN+Inf Pulmonares,BN+InfPul,bronconeumonia + infarto pulmon,1,2,0,BO_1975_00785,Enfermedades del sistema respiratorio
Perf Intest Per+BN,BN+Intes+Perf,bronconeumonia + intestino + perforacion,1,3,0,BO_1975_00129,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
Intox.+BN,BN+Intox,bronconeumonia + intoxicacion,1,2,0,BO_1979_04022,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
BN+IntE,BN+Intox,bronconeumonia + intoxicacion,1,2,0,BO_1975_02611,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
BN+Intox,BN+Intox,bronconeumonia + intoxicacion,1,2,0,BO_1975_00043,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
Intox Men de +BN+TM,BN+Intox+Mening+TM,bronconeumonia + intoxicacion + meningo + traumatismo multiple,1,4,0,BO_1975_00519,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio + Trauma
Intox. Medic.+BN,BN+IntoxMed,bronconeumonia + intoxicacion por medicamentos,1,2,0,BO_1976_02713,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
Intox Med+BN,BN+IntoxMed,bronconeumonia + intoxicacion por medicamentos,1,2,0,BO_1978_04607,Causas externas de morbilidad y de mortalidad + Enfermedades del sistema respiratorio
BN+Post Legrado,BN+Leg,bronconeumonia + legrado,1,3,1,BO_1974_01489,"Embarazo, parto y puerperio + Enfermedades del sistema respiratorio"
BN+LOC,BN+LOC,bronconeumonia + enfermedad organica del corazon,88,2,0,"BO_1974_00673,BO_1974_01082,BO_1974_01461,BO_1974_01600,BO_1974_01611",Enfermedades del sistema circulatorio + Enfermedades del sistema respiratorio
